Position,Artist Name,Song Name,Days,Peak Position,Total Streams
6299,Twenty One Pilots ,Mulberry Street,4,75,1155067
6300,Playboi Carti ,Poke It Out,4,67,1154483
6301,Smokepurpp ,What I Please,4,132,1153949
6302,Polo G ,Don't Believe The Hype,4,74,1152229
6303,The 1975 ,Oh Caroline,4,60,1152177
6304,Eminem ,Heat,4,71,1151733
6305,Meek Mill ,Ambitionz,10,58,1151675
6306,Halsey ,Not Afraid Anymore,6,71,1151585
6307,Kodak Black ,Zombie,4,89,1150616
6308,Twenty One Pilots ,Lane Boy,12,82,1148908
6309,Trippie Redd ,Gore,4,73,1148345
6310,Migos ,Birthday,3,51,1146807
6311,ScHoolboy Q ,Tales,4,60,1145987
6312,Louis The Child ,Little Things,4,47,1145921
6313,Rick Ross ,Running the Streets,4,66,1145909
6314,Bryson Tiller ,I'm Ready For You,3,42,1145891
6315,Kendrick Lamar ,untitled 04 | 08.14.2014.,7,50,1145232
6316,Gucci Mane ,Big Booty,4,67,1144999
6317,Travis Scott ,90210,11,100,1142826
6318,Shakira ,She Wolf,4,50,1141908
6319,DaBaby ,AMAZING GRACE,3,35,1141302
6320,Bad Bunny ,La Romana,5,178,1141299
6321,The Low Down ,Just for the Night,9,141,1139970
6322,Tyga ,Goddamn,5,155,1139931
6323,Nas ,White Label,3,45,1138289
6324,A$AP Rocky ,Max B,8,43,1137363
6325,Chris Brown ,Anyway,9,53,1137287
6326,Nipsey Hussle ,Hussle & Motivate,4,77,1136281
6327,Bryson Tiller ,Things Change,3,44,1135574
6328,Pentatonix ,White Winter Hymnal,17,129,1135486
6329,Lorde ,Secrets from a Girl (Who's Seen it All),4,57,1135421
6330,No Name No Fame ,Swervin' In My Lane,4,49,1134877
6331,Unknown Artist ,Unknown Title,7,105,1134784
6332,Gorillaz ,Let Me Out,5,95,1134714
6333,Tom Petty ,Runnin' Down A Dream,3,28,1134466
6334,Autumn! ,One Way!,4,116,1134385
6335,Logic ,Limitless,4,68,1133951
6336,Chance the Rapper ,5 Year Plan,4,69,1133679
6337,SEB ,seaside_demo,5,149,1133480
6338,Joji ,NO FUN,4,65,1133256
6339,YNW Melly ,Thugged Out,4,55,1133210
6340,Dua Lipa ,Want To,5,161,1133013
6341,Seeb ,Drink About,5,147,1132263
6342,KAROL G ,CAIRO,4,124,1132201
6343,PnB Rock ,Misunderstood,7,141,1131311
6344,Chantel Jeffries ,Wait (Featuring Offset & Vory),5,148,1130016
